id,text,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags
994419678255579137,RT @BJP4India: PM Modi will shortly interact with SC/ST/OBC and Slum Morcha Karyakartas of @BJP4Karnataka. Watch at https://t.co/vpP0MI6iTu…,2018-05-10 03:31:41,242,BJP4Karnataka,192289,"Karnataka, India",[]
994402664749420547,"As we enter the last day of public campaign, the BJP is organising road shows in more than 150 assembly constituenc… https://t.co/uPAm9dp7cj",2018-05-10 02:24:05,227,BJP4Karnataka,192289,"Karnataka, India",[]
994278641726099456,"RT @narendramodi: Campaigned across Karnataka today. Addressed rallies in Bangarapet, Chikmagalur and Belagavi. Here are some pictures. I a…",2018-05-09 18:11:15,1744,BJP4Karnataka,192289,"Karnataka, India",[]
994278612223365136,RT @BJP4India: PM Shri @narendramodi will address SC/ST/OBC and Slum Morcha Karyakartas of @BJP4Karnataka through 'Narendra Modi App' at 9…,2018-05-09 18:11:08,1415,BJP4Karnataka,192289,"Karnataka, India",[]
994278402348781575,Congress Party stooped to a new low today in Karnataka by unfairly targeting the daughter of former Minister &amp; BJP… https://t.co/UjB0bKC5US,2018-05-09 18:10:18,456,BJP4Karnataka,192289,"Karnataka, India",[]
994260985262190592,"In a first of its kind initiative, we have released 224 constituency specific manifestos.

Kannada Version :… https://t.co/0loJ5jdlVp",2018-05-09 17:01:06,549,BJP4Karnataka,192289,"Karnataka, India",[]
994255279360327680,"RT @myogiadityanath: Met Pejavar muth Pramukh Pujye Shri Swami Vishvesh Theerth ji Maharaj and took his blessings in Bengaluru, Karnataka.…",2018-05-09 16:38:25,776,BJP4Karnataka,192289,"Karnataka, India",[]
994254769182064640,RT @amitmalviya: Stunning drone shots from BJP President Shri @AmitShah’s road show in Kunigal... #BJP4BetterKarnataka https://t.co/I47GsZw…,2018-05-09 16:36:23,2257,BJP4Karnataka,192289,"Karnataka, India","[{'text': 'BJP4BetterKarnataka', 'indices': [98, 118]}]"
994254339475587072,"If Chamundeshwari is your Karmabhoomi, what are you doing in Badami?

Cong disowning constituents after elections i… https://t.co/rKzWzhsF2j",2018-05-09 16:34:41,168,BJP4Karnataka,192289,"Karnataka, India",[]
994243840939716608,RT @Office_of_BSY: ನಾಳೆ ಬೆಳಗ್ಗೆ ಪ್ರಧಾನಮಂತ್ರಿ ಶ್ರೀ ನರೇಂದ್ರ ಮೋದಿಯವರು ಬಿಜೆಪಿಯ ರಾಜ್ಯ ಘಟಕದ ಪರಿಶಿಷ್ಟ ಜಾತಿ/ಪರಿಶಿಷ್ಟ ಪಂಗಡ/ಹಿಂದುಳಿದ ವರ್ಗಗಳ ಮತ್ತು ಸ್…,2018-05-09 15:52:58,61,BJP4Karnataka,192289,"Karnataka, India",[]
